epoch	accuracy	val_accuracy	loss	val_loss
1	0.6810414791107178	0.504273533821106	0.6424182057380676	0.9986463189125061
2	0.7366422414779663	0.6507936716079712	0.5473493933677673	0.6869602203369141
3	0.7535936832427979	0.5982906222343445	0.516752302646637	0.6812812685966492
4	0.7636289596557617	0.791208803653717	0.508338212966919	0.4595572054386139
5	0.7702739238739014	0.7692307829856873	0.4934737980365753	0.49468910694122314
6	0.776512086391449	0.8168498277664185	0.4812355935573578	0.4206785261631012
7	0.7816653251647949	0.8241758346557617	0.4737180471420288	0.4028517007827759
8	0.7843775153160095	0.8205128312110901	0.4678161144256592	0.38866230845451355
9	0.7961757779121399	0.821733832359314	0.4527548551559448	0.40579450130462646
10	0.791429340839386	0.851037859916687	0.45043882727622986	0.36889585852622986
