epoch	accuracy	val_accuracy	loss	val_loss
1	0.7259164452552795	0.7384577393531799	0.5500820279121399	0.5308524370193481
2	0.7340747117996216	0.7418716549873352	0.5398798584938049	0.5244307518005371
3	0.736362099647522	0.7446377277374268	0.5368242859840393	0.5204304456710815
4	0.7375724911689758	0.7398566603660583	0.5350977778434753	0.5238648056983948
5	0.7387100458145142	0.7440217137336731	0.5335502028465271	0.5244960784912109
6	0.7392213940620422	0.7419034242630005	0.5327075719833374	0.5241209864616394
7	0.7398877143859863	0.7468792200088501	0.5314927101135254	0.5174469947814941
8	0.7402926683425903	0.7459889650344849	0.5308815240859985	0.5230473875999451
9	0.7406984567642212	0.7457067966461182	0.5304587483406067	0.5176117420196533
10	0.7409329414367676	0.7466526627540588	0.5299593210220337	0.516792893409729
