epoch	accuracy	val_accuracy	loss	val_loss
1	0.597640335559845	0.504273533821106	0.7396685481071472	1.3385728597640991
2	0.7034174203872681	0.5567765831947327	0.5853239893913269	0.9248485565185547
3	0.7407106161117554	0.6056166291236877	0.5368067026138306	0.7376334071159363
4	0.7533224821090698	0.7948718070983887	0.5196651220321655	0.4772605895996094
5	0.7603743076324463	0.7997558116912842	0.5083420276641846	0.45968136191368103
6	0.7653919458389282	0.7960928082466125	0.49470198154449463	0.44103825092315674
7	0.7695958614349365	0.8107448220252991	0.4911935031414032	0.4444197118282318
8	0.776512086391449	0.7472527623176575	0.47952213883399963	0.5040914416313171
9	0.7831570506095886	0.8363858461380005	0.4724835157394409	0.4183383285999298
10	0.7869541645050049	0.8363858461380005	0.459053635597229	0.39795982837677
