mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_learning_rate	param_max_depth	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score	rank_train_score
183.17093777656555	5.824194171675875	5.013589096069336	0.045873436476737826	0.04974556006241093	8	287	OrderedDict({'learning_rate': 0.04974556006241093, 'max_depth': 8, 'n_estimators': 287})	0.820824198715313	0.789655615398533	0.7660145038787928	0.8222765998111712	0.8057226553145618	0.8008987146236743	0.021074272156564863	1	0.8161767313006499	0.8247069569637502	0.8275241330389109	0.8166435147216701	0.8190903167711121	0.8208283305592186	0.004517704390885824	10
102.94387326240539	0.9357234782662707	3.349078416824341	0.03377366698055703	0.26466572228928054	9	161	OrderedDict({'learning_rate': 0.26466572228928054, 'max_depth': 9, 'n_estimators': 161})	0.8170916092198234	0.7871342283241637	0.7617912519001093	0.8180157683340761	0.8019514330776117	0.7971968581711568	0.021007844235233882	23	0.8370491150257124	0.8453402799580592	0.8476003553253451	0.8382624258935948	0.8393776232854656	0.8415259598976353	0.004165464241534489	5
107.6660129070282	1.87444649350775	2.802432489395142	0.024143286082187663	0.056984546365353606	9	121	OrderedDict({'learning_rate': 0.056984546365353606, 'max_depth': 9, 'n_estimators': 121})	0.8205420540569097	0.7891455854991722	0.7658186022505681	0.8221884405486297	0.805093739815445	0.800557684434145	0.021094455531180403	5	0.816058843916968	0.8240781640799965	0.8273498365911027	0.8162497871139688	0.8192867951990005	0.8206046853802074	0.00444811796569396	11
92.00620775222778	1.5728350176284709	1.7665990829467773	0.009646965282735991	0.2400139121528725	4	220	OrderedDict({'learning_rate': 0.2400139121528725, 'max_depth': 4, 'n_estimators': 220})	0.820232919282194	0.7886870731954554	0.7655989460889538	0.8220009226271782	0.805307830856707	0.8003655384100977	0.021129748786768255	8	0.8071541056361378	0.8158148544171423	0.8191863880682502	0.8067908633418002	0.8108623071008605	0.8119617037128382	0.004860084293624796	15
101.78228826522827	0.9695637790360888	2.4725229263305666	0.008586022250885972	0.22825343088702313	6	205	OrderedDict({'learning_rate': 0.22825343088702313, 'max_depth': 6, 'n_estimators': 205})	0.8197895820002149	0.7892517309156942	0.7636361946126762	0.8209560634883957	0.8051978019022483	0.7997662745838459	0.021426057920172523	13	0.8145644127466721	0.8233494135125936	0.8264448059846625	0.8147382425023346	0.81794781358889	0.8194089376670306	0.004742372643935375	12
99.04206252098083	2.5060185181917487	3.34708514213562	0.03135248264091736	0.17664102855893488	10	133	OrderedDict({'learning_rate': 0.17664102855893488, 'max_depth': 10, 'n_estimators': 133})	0.8188763823397387	0.7882106494877417	0.7629050677182697	0.8194290279642097	0.8038401673015009	0.7986522589622921	0.021234371098466702	21	0.8371470636902679	0.8454653348526169	0.8488333064757267	0.8380804186719281	0.8391773501225729	0.8417406947626225	0.004587981864513825	4
110.07554669380188	2.8107140943408058	3.0376255035400392	0.035031783645001466	0.11178906413690845	8	172	OrderedDict({'learning_rate': 0.11178906413690845, 'max_depth': 8, 'n_estimators': 172})	0.8207316951580798	0.7896527908560287	0.7653744320774735	0.8218287928104663	0.8057459271370668	0.8006667276078229	0.02118059074183583	4	0.818254726772784	0.8271457645977871	0.8296106688292963	0.8189235987877357	0.8213516422545128	0.8230572802484233	0.004532629467273684	9
144.75329666137696	3.219489133497853	4.556287145614624	0.04132168086444716	0.0837964291511578	9	199	OrderedDict({'learning_rate': 0.0837964291511578, 'max_depth': 9, 'n_estimators': 199})	0.8205817055782871	0.7898797566263625	0.7649368984241831	0.8216944992009623	0.8054476638125032	0.8005081047284597	0.021234333081536598	6	0.8237193327286009	0.8323920513654349	0.8344569261016239	0.8241370816742605	0.8261549983291949	0.8281720780398232	0.004415523458538973	7
167.7929759979248	6.620095137055699	4.961440229415894	0.09029795441841262	0.4200765500185469	8	274	OrderedDict({'learning_rate': 0.4200765500185469, 'max_depth': 8, 'n_estimators': 274})	0.8122113681972382	0.7825835390640496	0.7575217515247316	0.8127621150398389	0.7965700840615099	0.7923297715774735	0.020675232050331054	28	0.8459230390954424	0.853056442851734	0.8563156018939643	0.8464455508827978	0.84863011659252	0.8500741502632916	0.004008328284344713	3
251.02208876609802	2.635212454788743	6.349939918518066	0.08768013222880874	0.010143031708056657	9	248	OrderedDict({'learning_rate': 0.010143031708056657, 'max_depth': 9, 'n_estimators': 248})	0.8191373531430703	0.7875714674105277	0.7646075886085382	0.8214578581815296	0.8028697069473592	0.799128794858205	0.021157548985927192	17	0.807143557063069	0.8155154815666446	0.8187361198258835	0.8068963769394378	0.8109725123218036	0.8118528095433677	0.004654316986933197	16
64.49457621574402	5.709850177542462	1.0920087814331054	0.04111354152867232	0.07060848891624909	3	100	OrderedDict({'learning_rate': 0.07060848891624909, 'max_depth': 3, 'n_estimators': 100})	0.8178812711349672	0.7851784021542383	0.7683769076678026	0.8229768873598219	0.8011352293945196	0.7991097395422699	0.020320939293573585	19	0.7983000390670429	0.8063935538594397	0.8101628807392187	0.797168091277532	0.8025079397598938	0.8029065009406254	0.004881030082043818	27
